date,Motel6,Jetblue,Jetblue_pred,Motel6_pred
2020-07-01 00:00:00+00:00,51735.56565,60632.48621,,
2020-07-02 00:00:00+00:00,51852.27282,60719.18685,,
2020-07-03 00:00:00+00:00,51865.37457,60786.45292,,
2020-07-04 00:00:00+00:00,51832.90929,60819.04876,,
2020-07-05 00:00:00+00:00,51861.32526,60811.30578,,
2020-07-06 00:00:00+00:00,51962.85819,60778.84314,,
2020-07-07 00:00:00+00:00,52124.61915,60745.47385,,
2020-07-08 00:00:00+00:00,52280.99771,60717.37057,,
2020-07-09 00:00:00+00:00,52283.87786,60689.73714,,
2020-07-10 00:00:00+00:00,52096.37535,60658.47181,,
2020-07-11 00:00:00+00:00,51834.22549,60614.16474,,
2020-07-12 00:00:00+00:00,51587.613,60544.97297,,
2020-07-13 00:00:00+00:00,51358.18989,60456.64532,,
2020-07-14 00:00:00+00:00,51158.08103,60368.59362,,
2020-07-15 00:00:00+00:00,50972.82329,60289.22824,,
2020-07-16 00:00:00+00:00,50710.54397,60217.03882,,
2020-07-17 00:00:00+00:00,50380.21712,60147.49684,,
2020-07-18 00:00:00+00:00,50056.50552,60067.51152,,
2020-07-19 00:00:00+00:00,49698.14828,59966.14262,,
2020-07-20 00:00:00+00:00,49254.57295,59860.4162,,
2020-07-21 00:00:00+00:00,48761.75208,59777.69681,,
2020-07-22 00:00:00+00:00,48228.05103,59719.83245,,
2020-07-23 00:00:00+00:00,47617.7443,59674.9788,,
2020-07-24 00:00:00+00:00,46984.46873,59632.92159,,
2020-07-25 00:00:00+00:00,46408.40251,59580.47753,,
2020-07-26 00:00:00+00:00,45889.06755,59506.6913,,
2020-07-27 00:00:00+00:00,45364.42236,59424.16564,,
2020-07-28 00:00:00+00:00,44747.02643,59357.3406,,
2020-07-29 00:00:00+00:00,44032.65064,59308.32648,,
2020-07-30 00:00:00+00:00,43351.5463,59266.43953,,
2020-07-31 00:00:00+00:00,42767.73902,59224.83766,,
2020-08-01 00:00:00+00:00,42172.75266,59173.15819,,
2020-08-02 00:00:00+00:00,41534.22567,59100.37726,,
2020-08-03 00:00:00+00:00,40979.82496,59019.64662,,
2020-08-04 00:00:00+00:00,40552.55147,58955.1348,,
2020-08-05 00:00:00+00:00,40153.07817,58914.96881,,
2020-08-06 00:00:00+00:00,39774.90875,58908.28902,,
2020-08-07 00:00:00+00:00,39531.97617,58935.28947,,
2020-08-08 00:00:00+00:00,39484.44192,58968.84436,,
2020-08-09 00:00:00+00:00,39526.46418,58984.674,,
2020-08-10 00:00:00+00:00,39537.51029,58986.97066,,
2020-08-11 00:00:00+00:00,39512.12277,58995.10994,,
2020-08-12 00:00:00+00:00,39401.00748,59019.0313,,
2020-08-13 00:00:00+00:00,39221.8721,59054.14227,,
2020-08-14 00:00:00+00:00,39131.71762,59090.57193,,
2020-08-15 00:00:00+00:00,39206.21158,59116.89466,,
2020-08-16 00:00:00+00:00,39350.07803,59124.2288,,
2020-08-17 00:00:00+00:00,39409.74732,59123.23753,,
2020-08-18 00:00:00+00:00,39374.79033,59134.78675,,
2020-08-19 00:00:00+00:00,39384.33369,59164.23404,,
2020-08-20 00:00:00+00:00,39490.23462,59211.0059,,
2020-08-21 00:00:00+00:00,39654.77905,59271.81828,,
2020-08-22 00:00:00+00:00,39851.15511,59328.69413,,
2020-08-23 00:00:00+00:00,39964.10657,59364.61534,,
2020-08-24 00:00:00+00:00,39959.74512,59394.43509,,
